avg_salary,Location,job_state,Company_Size,Company_Size - Description,company_age,python_yn,R_yn,spark,aws,excel,Job_Title,Type of ownership_College / University,Type of ownership_Company - Private,Type of ownership_Company - Public,Type of ownership_Government,Type of ownership_Hospital,Type of ownership_Nonprofit Organization,Type of ownership_Other Organization,Type of ownership_School / School District,Type of ownership_Subsidiary or Business Segment,Type of ownership_Unknown
62,"Cambridge, MA", MA,3,201 to 500 employees,7,0,0,0,0,0,"scientist, analytical development",0,0,1,0,0,0,0,0,0,0
150.5,"San Francisco, CA", CA,6,5001 to 10000 employees,38,1,0,1,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
87.5,"Dearborn, MI", MI,3,201 to 500 employees,53,0,0,0,0,1,analytics manager,0,1,0,0,0,0,0,0,0,0
71.5,"Winter Park, FL", FL,2,51 to 200 employees,14,1,0,1,1,1,data engineer,0,0,1,0,0,0,0,0,0,0
51.5,"San Rafael, CA", CA,2,51 to 200 employees,14,0,0,0,0,1,data analyst,0,0,0,0,0,0,0,0,1,0
151.5,"San Diego, CA", CA,7,10000+ employees,239,0,0,0,0,1,senior scientist,0,0,1,0,0,0,0,0,0,0
77.5,"Hamilton, NJ", NJ,3,201 to 500 employees,6,1,0,0,0,1,senior data analyst,0,1,0,0,0,0,0,0,0,0
140,"Boston, MA", MA,7,10000+ employees,239,0,0,0,0,1,principal scientist - immunologist,0,0,1,0,0,0,0,0,0,0
98.5,"Woodbridge, NJ", NJ,5,1001 to 5000 employees,38,0,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
225,"San Francisco, CA", CA,2,51 to 200 employees,3,1,0,0,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
27.5,"Lewes, DE", DE,5,1001 to 5000 employees,85,0,0,0,0,0,med tech/lab scientist,0,0,0,0,0,1,0,0,0,0
161.5,"Boston, MA", MA,7,10000+ employees,239,0,0,0,0,0,senior data scientist,0,0,1,0,0,0,0,0,0,0
147,"New York, NY", NY,5,1001 to 5000 employees,72,1,0,1,1,0,data scientist,0,0,1,0,0,0,0,0,0,0
61,"Springfield, MO", MO,4,501 to 1000 employees,59,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
120,"Pittsburgh, PA", PA,4,501 to 1000 employees,36,1,0,0,0,0,machine learning research scientist,1,0,0,0,0,0,0,0,0,0
124.5,"Phoenix, AZ", AZ,5,1001 to 5000 employees,12,1,0,0,0,1,"vp, data science",0,0,1,0,0,0,0,0,0,0
148,"Burbank, CA", CA,2,51 to 200 employees,11,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
59,"Huntsville, AL", AL,2,51 to 200 employees,24,1,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
146.5,"Worcester, MA", MA,6,5001 to 10000 employees,168,1,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
91.5,"Newton, MA", MA,3,201 to 500 employees,-1,0,0,0,0,1,pv scientist,0,0,1,0,0,0,0,0,0,0
133,"Chicago, IL", IL,4,501 to 1000 employees,5,1,0,0,1,0,senior data & machine learning scientist,0,1,0,0,0,0,0,0,0,0
140.5,"Salt Lake City, UT", UT,2,51 to 200 employees,7,1,0,0,1,0,data scientist,0,1,0,0,0,0,0,0,0,0
70.5,"Lafayette, LA", LA,4,501 to 1000 employees,-1,0,0,0,0,1,data engineer,0,1,0,0,0,0,0,0,0,0
84.5,"Rochester, NY", NY,7,10000+ employees,6,0,0,0,0,0,principal scientist,0,0,0,0,1,0,0,0,0,0
93.5,"Annapolis Junction, MD", MD,2,51 to 200 employees,18,0,0,0,0,1,software engineer,0,1,0,0,0,0,0,0,0,0
134.5,"Cambridge, MA", MA,3,201 to 500 employees,7,0,0,0,0,0,scientist/senior scientist,0,0,1,0,0,0,0,0,0,0
181,"San Francisco, CA", CA,3,201 to 500 employees,13,1,0,1,0,0,machine learning engineer,0,1,0,0,0,0,0,0,0,0
84.5,"Rochester, NY", NY,7,10000+ employees,6,0,0,0,0,0,"principal scientist, hematology",0,0,0,0,1,0,0,0,0,0
205,"Mountain View, CA", CA,2,51 to 200 employees,10,1,0,1,1,0,lead data engineer,0,1,0,0,0,0,0,0,0,0
48.5,"Highland, CA", CA,5,1001 to 5000 employees,34,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
21.5,"Burleson, TX", TX,5,1001 to 5000 employees,43,0,0,0,1,0,medical laboratory scientist,0,0,0,0,1,0,0,0,0,0
52.5,"Hoopeston, IL", IL,4,501 to 1000 employees,-1,0,0,0,0,0,r&d specialist/ food scientist,0,1,0,0,0,0,0,0,0,0
124,"Pittsburgh, PA", PA,4,501 to 1000 employees,36,0,0,0,0,0,senior research scientist-machine learning,1,0,0,0,0,0,0,0,0,0
64,"Scotts Valley, CA", CA,4,501 to 1000 employees,24,0,0,0,0,0,data analytics manager,0,0,0,0,0,1,0,0,0,0
98,"Knoxville, TN", TN,7,10000+ employees,62,1,0,0,0,0,senior data engineer,0,1,0,0,0,0,0,0,0,0
27.5,"Millville, DE", DE,5,1001 to 5000 employees,85,0,0,0,0,0,med tech/lab scientist,0,0,0,0,0,1,0,0,0,0
54,"Milwaukee, WI", WI,4,501 to 1000 employees,56,0,0,0,0,0,food scientist - developer,0,1,0,0,0,0,0,0,0,0
